"","INPUT","OUTPUT","COUNT"
"1","thanks for","the",437
"2","one of","the",427
"3","a lot","of",394
"4","to be","a",276
"5","i want","to",265
"6","going to","be",262
"7","thank you","for",231
"8","i have","a",218
"9","looking forward","to",216
"10","i love","you",205
"11","it was","a",200
"12","i have","to",197
"13","i dont","know",195
"14","the end","of",191
"15","out of","the",183
"16","im going","to",182
"17","cant wait","to",176
"18","i need","to",169
"19","be able","to",165
"20","the rest","of",164
"21","some of","the",159
"22","as well","as",157
"23","this is","a",152
"24","you want","to",150
"25","i think","i",147
"26","for the","follow",145
"27","it is","a",145
"28","the fact","that",140
"29","part of","the",139
"30","this is","the",138
"31","one of","my",137
"32","is going","to",135
"33","a couple","of",131
"34","i dont","think",130
"35","there is","a",130
"36","end of","the",129
"37","i have","been",129
"38","in the","world",129
"39","the first","time",125
"40","i had","a",122
"41","to go","to",122
"42","to see","you",122
"43","you have","to",121
"44","if you","are",120
"45","it would","be",120
"46","you have","a",119
"47","have a","great",116
"48","when i","was",115
"49","of the","day",114
"50","as much","as",112
"51","all of","the",111
"52","there is","no",111
"53","i wanted","to",109
"54","i cant","wait",107
"55","is one","of",107
"56","it will","be",105
"57","let me","know",105
"58","i feel","like",104
"59","if you","want",104
"60","to have","a",104
"61","dont want","to",103
"62","was going","to",103
"63","would like","to",102
"64","to see","the",101
"65","i will","be",99
"66","so i","can",99
"67","i had","to",98
"68","i am","not",97
"69","i hope","you",96
"70","if you","have",96
"71","rest of","the",96
"72","to make","a",96
"73","most of","the",95
"74","i wish","i",94
"75","in order","to",94
"76","to be","the",94
"77","and i","am",93
"78","for the","first",92
"79","you so","much",92
"80","want to","be",91
"81","and i","have",88
"82","if you","dont",88
"83","at the","end",87
"84","i love","the",87
"85","that i","have",87
"86","what do","you",87
"87","a bit","of",86
"88","i know","i",86
"89","are going","to",84
"90","for me","to",84
"91","go to","the",84
"92","one of","those",84
"93","to get","a",84
"94","do you","have",83
"95","happy mothers","day",83
"96","in front","of",83
"97","we need","to",83
"98","you need","to",83
"99","in my","life",82
"100","it is","the",82
"101","of the","most",82
"102","to do","with",82
"103","back to","the",81
"104","do you","think",81
"105","i dont","have",81
"106","for the","rt",80
"107","so much","for",80
"108","all the","time",79
"109","cant wait","for",79
"110","have to","be",79
"111","i am","a",79
"112","would love","to",79
"113","you for","the",79
"114","a great","day",78
"115","as long","as",78
"116","but i","think",77
"117","i used","to",77
"118","i went","to",77
"119","of the","best",77
"120","i am","so",76
"121","i would","have",76
"122","in the","morning",76
"123","look forward","to",76
"124","of the","year",76
"125","the same","time",76
"126","would be","a",76
"127","at the","same",75
"128","it is","not",75
"129","we have","a",75
"130","in the","past",74
"131","thanks so","much",74
"132","how are","you",73
"133","i have","no",73
"134","i need","a",73
"135","and it","was",72
"136","thank you","so",72
"137","to be","in",72
"138","i was","a",71
"139","on the","other",71
"140","thanks for","following",71
"141","but i","dont",70
"142","had a","great",70
"143","in love","with",70
"144","need to","be",70
"145","need to","get",70
"146","be sure","to",69
"147","in the","middle",69
"148","and it","is",68
"149","for a","few",68
"150","for a","while",68
"151","i thought","i",68
"152","that i","am",68
"153","i decided","to",67
"154","not going","to",67
"155","there was","a",67
"156","to say","that",67
"157","a little","bit",66
"158","it was","the",66
"159","that it","was",66
"160","to get","the",66
"161","when it","comes",66
"162","be a","good",65
"163","i dont","want",65
"164","is not","a",65
"165","the united","states",65
"166","to take","a",65
"167","and i","was",64
"168","dont have","to",64
"169","in the","first",64
"170","looking for","a",64
"171","top of","the",64
"172","you know","what",64
"173","a part","of",63
"174","i think","it",63
"175","that would","be",63
"176","a few","days",62
"177","is the","best",62
"178","of the","world",62
"179","to all","the",62
"180","wait to","see",62
"181","will be","a",62
"182","you dont","have",62
"183","at the","time",61
"184","going to","the",61
"185","in the","same",61
"186","it comes","to",61
"187","that it","is",61
"188","to make","it",61
"189","up in","the",61
"190","i love","it",60
"191","i think","that",60
"192","in the","end",60
"193","please follow","me",60
"194","the middle","of",60
"195","the top","of",60
"196","we will","be",60
"197","a chance","to",59
"198","check it","out",59
"199","i was","in",59
"200","this is","not",59
"201","to do","it",59
"202","is in","the",58
"203","to find","a",58
"204","we had","a",58
"205","what are","you",58
"206","and i","dont",57
"207","but it","was",57
"208","know how","to",57
"209","of my","life",57
"210","the only","one",57
"211","to see","what",57
"212","trying to","get",57
"213","go back","to",56
"214","i got","a",56
"215","i think","its",56
"216","i was","going",56
"217","im not","sure",56
"218","its going","to",56
"219","look at","the",56
"220","thought it","was",56
"221","up to","the",56
"222","what to","do",56
"223","a long","time",55
"224","have a","good",55
"225","i know","that",55
"226","id like","to",55
"227","is a","good",55
"228","side of","the",55
"229","supposed to","be",55
"230","that i","was",55
"231","the same","thing",55
"232","to be","able",55
"233","to see","if",55
"234","wish i","could",55
"235","a way","to",54
"236","according to","the",54
"237","but it","is",54
"238","check out","the",54
"239","do you","know",54
"240","have to","do",54
"241","i do","not",54
"242","in the","us",54
"243","that i","can",54
"244","the back","of",54
"245","to make","the",54
"246","going to","get",53
"247","let us","know",53
"248","a great","time",52
"249","but i","have",52
"250","for the","next",52
"251","has been","a",52
"252","i miss","you",52
"253","in my","head",52
"254","in the","s",52
"255","out of","my",52
"256","the idea","of",52
"257","to make","sure",52
"258","will have","to",52
"259","all over","the",51
"260","as soon","as",51
"261","for all","the",51
"262","i like","to",51
"263","i thought","it",51
"264","i would","be",51
"265","its been","a",51
"266","of my","favorite",51
"267","on top","of",51
"268","were going","to",51
"269","you will","be",51
"270","at the","top",50
"271","i get","to",50
"272","i love","my",50
"273","to meet","you",50
"274","would have","been",50
"275","you are","a",50
"276","at this","point",49
"277","needs to","be",49
"278","on the","way",49
"279","this is","what",49
"280","to figure","out",49
"281","dont know","what",48
"282","has to","be",48
"283","i cant","believe",48
"284","i would","like",48
"285","in the","last",48
"286","it has","been",48
"287","it to","the",48
"288","seems to","be",48
"289","you can","see",48
"290","a pair","of",47
"291","because of","the",47
"292","but i","am",47
"293","did you","know",47
"294","going to","have",47
"295","have no","idea",47
"296","i dont","even",47
"297","i love","that",47
"298","in a","few",47
"299","its time","to",47
"300","of all","the",47
"301","that i","had",47
"302","to all","of",47
"303","to get","my",47
"304","used to","be",47
"305","went to","the",47
"306","a bunch","of",46
"307","hope to","see",46
"308","of the","time",46
"309","to talk","about",46
"310","you can","do",46
"311","i dont","like",45
"312","i know","you",45
"313","if you","can",45
"314","much for","the",45
"315","not sure","if",45
"316","there will","be",45
"317","was in","the",45
"318","will be","the",45
"319","all the","way",44
"320","and i","will",44
"321","and of","course",44
"322","back in","the",44
"323","for the","day",44
"324","i dont","care",44
"325","i think","the",44
"326","thank you","to",44
"327","the only","thing",44
"328","there are","a",44
"329","i am","going",43
"330","more than","a",43
"331","much as","i",43
"332","that i","would",43
"333","that is","the",43
"334","the next","day",43
"335","was one","of",43
"336","we have","to",43
"337","we want","to",43
"338","you know","that",43
"339","all of","you",42
"340","are you","doing",42
"341","at a","time",42
"342","get out","of",42
"343","getting ready","for",42
"344","how do","you",42
"345","i have","the",42
"346","i would","love",42
"347","in the","back",42
"348","mothers day","to",42
"349","the other","hand",42
"350","the way","to",42
"351","to be","an",42
"352","to check","out",42
"353","want to","go",42
"354","when i","get",42
"355","a few","of",41
"356","i can","see",41
"357","i was","just",41
"358","if i","can",41
"359","im trying","to",41
"360","is a","great",41
"361","more and","more",41
"362","of the","week",41
"363","out in","the",41
"364","the name","of",41
"365","to be","on",41
"366","to get","to",41
"367","to look","at",41
"368","to me","and",41
"369","want to","get",41
"370","am going","to",40
"371","and i","had",40
"372","and we","are",40
"373","every time","i",40
"374","have to","say",40
"375","is not","the",40
"376","is the","most",40
"377","just want","to",40
"378","rt if","you",40
"379","so much","more",40
"380","this was","a",40
"381","to create","a",40
"382","to do","a",40
"383","to get","out",40
"384","up with","a",40
"385","want to","know",40
"386","what kind","of",40
"387","you guys","are",40
"388","a little","more",39
"389","a piece","of",39
"390","and this","is",39
"391","be in","the",39
"392","due to","the",39
"393","get back","to",39
"394","in addition","to",39
"395","is the","only",39
"396","it in","the",39
"397","it to","be",39
"398","on my","way",39
"399","over the","past",39
"400","some of","my",39
"401","the last","time",39
"402","the time","i",39
"403","to have","to",39
"404","to talk","to",39
"405","to work","with",39
"406","a few","years",38
"407","and i","cant",38
"408","and if","you",38
"409","and in","the",38
"410","are the","best",38
"411","are you","going",38
"412","for all","of",38
"413","forward to","the",38
"414","getting ready","to",38
"415","have a","lot",38
"416","i just","want",38
"417","i love","this",38
"418","i was","so",38
"419","is such","a",38
"420","it should","be",38
"421","just have","to",38
"422","let you","know",38
"423","me and","i",38
"424","no matter","how",38
"425","no matter","what",38
"426","one of","our",38
"427","shout out","to",38
"428","take care","of",38
"429","the bottom","of",38
"430","to listen","to",38
"431","up with","the",38
"432","was able","to",38
"433","and i","are",37
"434","and that","is",37
"435","are in","the",37
"436","dont forget","to",37
"437","dont know","if",37
"438","for you","to",37
"439","happy birthday","to",37
"440","have to","get",37
"441","hit me","up",37
"442","i can","do",37
"443","i guess","i",37
"444","in the","next",37
"445","one of","them",37
